mong,vietnamese
kêl,thấp
saz,cao
lux,lớn
yaz,mới
jông,tốt
đuz,đen
cơưv,học
môngl,đi
naox,ăn
uô,làm
nôngs,chim
shôngz,tre
ntông,cây
trăngz hlâu,cái cuốc
trăngz cơư,cái cưa
trăngz tras,cáii dao
luz tsêr,cái nhà
luz cơưv,cái gùi
luz trôngx,cái bàn
lênhx,người
lênhx nav,người mẹ
lênhx txir,người bố
lênhx txir zơưv,người chú
đeiv qaox,tấm chăn
đeiv ntơưr,quyển vở
đeiv blôngx,chiếc lá
txux plâuz hâu,sợi tóc
txux xur,sợi chỉ
chaor,yến
puôk,tạ
cxaz,tấn
yiv,thước
đangx,vàng
lôngx têl,gang tay
phưz,gáo
langv phưx,chai
đar,thìa
khaoz,chén
jas,lần
pluôv,bữa
hnuz,ngày
hmao,đêm
hlik (hli),tháng
shông,năm
ntiv,bát
cheix,mùa
tav,đời
tik,cánh
sênhv,"thừa, khoảng"
txôngl,khu
jaol,làng
xar,xã
xinhr,tỉnh
zangv,loại
txeir,bố
tuz,con trai
nxeik,con gái
nhuôs,con
tix,anh trai
cưr,em trai
vêr,chị gái
ndâus,em gái
nhangz,dâu
vâur,rể
zơưv,ông
pus,bà
tsêr,nhà
têz,nương
lax,ruộng
đêr,chó
keiz,gà
ntơưr,giấy
đêx,nước
shuv xinhz,học sinh
cưk ntông,thợ mộc
tsêr khu maoz,bệnh viện
đha,chạy
nhaoz,ở
zang zus,bay lượn
uô si,chơi
nưl đha,nó chạy
tâu naox,được ăn
tâu hâuk,được uống
tâu cơưv,được học
tâu uô si,được chơi
tsuv tuô,bị giết
tsuv tuv,bị cắn
trâus maoz,bị ốm
trâus  phuôv,bị phạt
tsuv ntâuk,bị đánh
az,đắng
kăngz,ngọt
saz,cao
greiv,hẹp
yaz,mới
tsêr nor jông hưngr,nhà này đẹp quá
tsêr nor jông jông,nhà này đẹp đẹp
tsêr nor tsi jông,nhà này không đẹp
luz yao yaz yaz,cái áo mới mới
luz yao laok six yaz,cái áo rất mới
luz yao tsi yaz,cái áo không mới
thâuk tưs,khi nào
thâuk tưs môngl,khi nào đi
bâuv tưs,bao nhiêu
zuôr bâuv tưs,lấy bao nhiêu
tul tưs uô maor,ai nấu cơm
nav uô maor,mẹ nấu cơm
tus tưs,ai
caox hâuk đangz sti,anh uống gì
nor,này
cao,kia
tiv u,ở xa đằng kia
nhil nor,bây giờ
thâuk cao,lúc đó
hnuz nor,hôm nay
hmaok nor,đêm nay
bâuv nor,bằng này
bâuv cao,"từng đó, bằng ấy"
nưl xangr môngl cơưv,nó sắp đi học
xangr tsus cheix sâu kôngz,sắp đến mùa thu hoạch
nhaor,vừa mới
cur nhaor môngl,tôi vừa mới đi
